"","Country Name","Country Code","Series Name","Series Code","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"1","Brazil","BRA","Claims on central government, etc. (% GDP)","FS.AST.CGOV.GD.ZS","-4.41389722848156E-15","3.45623593295055","2.88407374150291","0.700750717211032","0.597081179164289","1.90332813364317","3.05155346509125","-12.1874620481816","-9.2093853056492","-7.03384029126499","-7.94880285752566","-6.71335644028969","-6.19744689646999","-10.7005674289363","-11.5883704305964","..","..","38.8569464441261","52.2747558216534","27.1574601067543","24.723967271159","24.8025018428359","21.5438109763177","4.1390935119565","5.43026225383699","5.94510967604378","11.9381921682388","27.5891893076075","33.7864544523561","35.8750301266061","39.324092634411","41.9855614849436","43.5954016416559","41.0136706477949","40.5501532454311","41.2779157718603","38.4430157548754","31.3432519538229","34.43971960458","31.5422578826055","27.6516378040139","28.4161895711699","25.2386880187283","25.7620070762948","27.1538325435882","36.8474142653646","42.8752282705591","44.0581941850788","47.8517331116278","57.5794885477379"
"2","Brazil","BRA","Consumer price index (2010 = 100)","FP.CPI.TOTL","..","..","..","..","..","..","..","..","..","3.5720399582063E-10","7.20570021177796E-10","1.44505532582099E-09","3.39628003922508E-09","9.92127211260219E-09","3.2342321744633E-08","7.99317280305453E-08","2.62444768495788E-07","1.91352288553154E-06","2.92907487949526E-05","0.00089270375032944","0.00475620651227255","0.0500334876739342","1.01436931774854","22.0715442934335","36.640315941141","42.4139744020249","45.3518684755867","46.8008952735922","49.0746921995342","52.5315827425714","56.1249316036127","60.8675805806435","69.8241962003048","74.430627668128","79.5436673306746","82.8714308457339","85.8890058743968","90.7662937251917","95.2029817480311","100","106.636449622131","112.398549260784","119.372104441451","126.927212865611","138.388614560103","150.482594206408","155.668786230018","161.373814183906","167.397860280061","172.774291252888"
"3","Brazil","BRA","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","2.61904685858105","2.43581199022501","2.15465130649243","1.94135341120892","1.97214379625895","2.00275336513055","1.68772647800164","1.59967155032807","1.52193168607333","1.13843442074363","1.14314876818876","1.30353436107498","1.25458032300474","1.19954104516533","1.42952312218953","1.22038872750142","1.74399403145367","2.1180722049862","2.68625","2.36384102519699","1.96333333333333","1.52152886115445","1.92792281498297","2.016007789121","1.86213698033379","1.65484349950291","1.57768831551774","1.66229191975824","1.64547466656987","1.73072614713627","1.95188244532532","1.89577119915617","1.50347763554507","1.46126840890621","1.52401339252107","1.48108489489303","1.46629209992902","1.44192409343118","1.53862569660074","1.53940698112515","1.41185115924524","1.37865646470437","1.32944608407492","1.330244423168","1.36551715396161","1.34797541299482","1.41448561149999","1.49420335261882","1.40798851592398","1.43916822562215"
"4","Brazil","BRA","Primary school starting age (years)","SE.PRM.AGES","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6"
"5","Brazil","BRA","Short-term debt (% of total external debt)","DT.DOD.DSTC.ZS","11.9465","11.9275","11.9544","12.0278","11.9003","11.9656","14.1198","12.8609","13.9862","18.809","18.742","18.5149","14.4029","10.557","9.0027","8.5999","11.1001","8.8887","15.6736","19.7113","21.685","18.5964","21.6616","21.043","19.4009","19.7595","17.5138","12.3474","11.9251","12.7718","12.2948","10.0864","10.4253","11.4489","12.7375","10.4594","16.4592","13.9353","14.126","18.5865","10.4295","7.3965","6.9261","10.4461","9.6322","10.5294","9.6516","11.9847","13.9241","12.5598"
"6","Brazil","BRA","Population, total","SP.POP.TOTL","97482928","99859388","102259497","104706193","107216209","109790943","112425392","115121158","117878412","120694012","123570327","126498322","129448815","132383569","135274083","138108915","140891606","143627505","146328305","149003225","151648007","154259382","156849086","159432717","162019889","164614682","167209046","169785253","172318674","174790339","177196051","179537523","181809244","184006479","186127108","188167353","190130445","192030362","193886505","195713637","197514541","199287292","201035904","202763744","204471759","206163056","207833825","209469320","211049519","212559409"
"7","Brazil","BRA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","11.2950868433502","12.0528022500388","13.9786916510762","9.04212031316946","5.20907590114365","9.79041016147646","4.60631806113751","3.23170956333574","6.76628496532688","9.11096015517168","-4.39335720034877","0.58024555339469","-3.40979347371636","5.26914314976867","7.94586174871235","7.98829510486276","3.59962946680869","-0.102672718383729","3.27945885796423","-3.10235594875007","1.51193723815426","-0.466913211737747","4.66516899045992","5.33455170168176","4.41673135543732","2.20753552677458","3.39484598484418","0.338097902952427","0.467937567378257","4.38794944267383","1.38989640325893","3.05346185795257","1.14082899810009","5.75996463871775","3.20213137990235","3.96198872184988","6.0698706077184","5.09419544732717","-0.125811999414864","7.52822583005563","3.97442540583816","1.92115031836305","3.00484630505706","0.503955740242247","-3.54576339269425","-3.27591690782192","1.32286905485741","1.78366676136979","1.41115298507022","-4.05904827267295"
"8","Brazil","BRA","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","8.58967108712187","9.38616261035743","11.3035241442384","6.49410560689752","2.74604846974952","7.21568865720177","2.15509236285534","0.81435607595408","4.26895096420554","6.56557439557905","-6.618768651953","-1.74783636439638","-5.611348800618","2.93547711198904","5.63929261361262","5.77172078314929","1.55347664972301","-2.00557424001391","1.3732168463207","-4.8418716271897","-0.25845823029789","-2.15185587870434","2.93706324430802","3.62758955320651","2.74938023353704","0.596455673446997","1.79060343561859","-1.18436477043576","-1.00913730182532","2.91182643418635","0.0133708594922837","1.70947096729365","-0.122933724505998","4.49707706450926","2.0263035544035","2.83475849674375","4.97470189641052","4.05441066302465","-1.08194236515625","6.52437006747878","3.02640427451763","1.01451538276449","2.1089092772753","-0.352483145036089","-4.35147506527211","-4.06941092530269","0.508337981256091","0.988960032623581","0.651853445819171","-4.74055319539119"
"9","China","CHN","Claims on central government, etc. (% GDP)","FS.AST.CGOV.GD.ZS","..","..","..","..","..","..","-12.3353846153846","-12.420139915246","-1.42667140483994","0.178743434959243","-0.502448134235561","-0.104218036382346","0.0979916023075936","1.30383966370855","-1.02539326218941","0.56475643516567","1.70847576910023","2.01180648772514","1.43541156675526","2.22912586237911","2.64477790811931","3.71582066892722","3.31845472955472","2.73986401599766","2.71715512315336","3.03619245056889","2.02813660872039","5.68653226617","6.48899741159864","5.85911631532186","9.93647815191822","10.9531646989755","9.58980851059559","9.66089622771979","8.11304665307943","6.99526826952354","10.443758494022","9.22007414432906","9.3218833378786","8.39665944385464","8.68218528356981","9.41062166230762","8.27093571385255","8.55347386124636","14.2695613788415","21.7514277795994","24.6253960943825","27.3450993013416","29.4081412434764","33.4840839751782"
"10","China","CHN","Consumer price index (2010 = 100)","FP.CPI.TOTL","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","26.0483197849659","27.9326123967096","33.1872445880263","39.2424692179247","40.4402632290027","41.8785962689823","44.5395544614716","51.0468183922653","63.4292398842776","74.0797863737528","80.2381577567065","82.4739659836287","81.8362888154734","80.6893755831361","80.9700222903012","81.552298456301","80.9553593614031","81.8682148167155","84.9993772047539","86.5093181065059","87.9362296125359","92.1719134940608","97.6333310615016","96.9223990713835","100","105.553898922575","108.318908982374","111.158001765192","113.294060199837","114.922122819496","117.220567369674","119.088050428682","121.558877866113","125.083154382075","128.109443605623"
