"","brazil_claims_on_central_government","brazil_consumer_price_index","brazil_military_expenditure","brazil_short_term_debt","brazil_population_total","brazil_gdp_growth","brazil_gdp_per_capita_growth","china_claims_on_central_government","china_consumer_price_index","china_military_expenditure","china_short_term_debt","china_population_total","china_gdp_growth","china_gdp_per_capita_growth","india_claims_on_central_government","india_consumer_price_index","india_military_expenditure","india_short_term_debt","india_population_total","india_gdp_growth","india_gdp_per_capita_growth","south_africa_claims_on_central_government","south_africa_consumer_price_index","south_africa_military_expenditure","south_africa_short_term_debt","south_africa_population_total","south_africa_gdp_growth","south_africa_gdp_per_capita_growth"
"1",-7.94880285752566,7.20570021177796e-10,1.14314876818876,18.742,123570327,-4.39335720034877,-6.618768651953,-0.502448134235561,100,1.63265067284541,0,993885000,5.11276109058912,3.77490366463344,16.8047994946957,11.0142316437707,3.18624812218328,7.104,715384997,6.00620362381754,3.57127570913673,13.5019268465057,7.46987031120577,3.63812916270383,16.2724,29333095,5.36073741903375,2.57228058840973
"2",-6.71335644028969,1.44505532582099e-09,1.30353436107498,18.5149,126498322,0.58024555339469,-1.74783636439638,-0.104218036382346,100,1.63265067284541,27.512,1008630000,9.01711391382203,7.4234102319374,18.2038937927274,11.8833363334912,3.34511766555139,8.8966,732239498,3.47573324031229,1.09395534641537,12.238911136425,8.56338740977399,3.61409329641932,16.2724,30150448,-0.383390768760975,-3.08391231341534
"3",-6.19744689646999,3.39628003922508e-09,1.25458032300474,14.4029,129448815,-3.40979347371636,-5.611348800618,0.0979916023075936,100,1.63265067284541,41.4494,1023310000,10.7702025065715,9.18113704957753,17.929345684808,13.2936603505448,3.3230686597074,10.8908,749428958,7.28889290124583,4.82803505303571,12.1758907485368,9.61695870311206,3.60464820498906,16.2724,30993762,-1.84654447698229,-4.51721682682282
"4",-10.7005674289363,9.92127211260219e-09,1.19954104516533,10.557,132383569,5.26914314976867,2.93547711198904,1.30383966370855,100,1.63265067284541,46.3233,1036825000,15.1915400236134,13.6900198409219,19.3789001267168,14.3995476077688,3.41687559436328,11.2074,766833411,3.82073785597366,1.46436797625853,11.6768036177522,10.7254555673885,3.69560695941547,16.2724,31841588,5.09911490972956,2.30070667087364
"5",-11.5883704305964,3.2342321744633e-08,1.42952312218953,9.0027,135274083,7.94586174871235,5.63929261361262,-1.02539326218941,100,1.63265067284541,38.4389,1051040000,13.4306775204064,11.8965617103967,21.0818577843934,15.1996475603979,3.5690302776083,11.193,784360012,5.25429922330882,2.90238163725327,13.2436434885628,12.4730855520057,3.69833382968385,16.2724,32678876,-1.21148371912611,-3.74261236687336
"6",-10.7005674289363,7.99317280305453e-08,1.22038872750142,8.5999,138108915,7.98829510486276,5.77172078314929,0.56475643516567,26.0483197849659,1.63265067284541,25.6162,1066790000,8.94996176438008,7.34143347128678,22.7738813575351,16.5265343439129,4.10646868066223,11.0132,801975250,4.77656417048958,2.47516632225742,12.3469592777191,14.7999305407644,3.82057632450885,16.2724,33495956,0.01783477808317,-2.42193951707283
"7",-10.7005674289363,2.62444768495788e-07,1.74399403145367,11.1001,140891606,3.59962946680869,1.55347664972301,1.70847576910023,27.9326123967096,1.63265067284541,23.2629,1084035000,11.6574277931357,9.88116379585462,23.7641882043014,17.9810554239697,4.2313175270108,10.6186,819682095,3.96535563390586,1.71948684061537,11.353950060719,17.1916873742752,4.19217049247912,16.2724,34297727,2.10073522073282,-0.286052935189645
"8",38.8569464441261,1.91352288553154e-06,2.1180722049862,8.8887,143627505,-0.102672718383729,-2.00557424001391,2.01180648772514,33.1872445880263,1.63265067284541,20.7498,1101630000,11.222594982521,9.44617135687768,23.6099864837907,19.6683027001421,3.72867178276269,10.7238,837468938,9.62778291984819,7.29941935344517,11.1577264177539,19.3887066619335,4.62375902257971,16.2724,35100905,4.20013254933285,1.81582781244049
"9",52.2747558216534,2.92907487949526e-05,2.68625,15.6736,146328305,3.27945885796423,1.3732168463207,1.43541156675526,39.2424692179247,2.44710131532583,15.3719,1118650000,4.20633435547815,2.62085917492101,23.9256972820432,21.0596935101847,3.53417972767288,10.1748,855334675,5.94734332826501,3.7343763726678,9.32163125755604,22.2448349307774,4.35788474069836,16.2724,35930056,2.39478415860124,0.0318393950336997
"10",27.1574601067543,0.00089270375032944,2.36384102519699,19.7113,149003225,-3.10235594875007,-4.8418716271897,2.22912586237911,40.4402632290027,2.45401611552735,16.8476,1135185000,3.92025136776569,2.40655857199583,24.3423680413848,22.9490075793463,3.14621461029962,10.2358,873277799,5.53345456306511,3.36507256189454,10.7330476868994,25.4305123654005,3.89635147817926,16.2724,36800507,-0.317785675763318,-2.67559240763107
"11",24.723967271159,0.00475620651227255,1.96333333333333,21.685,151648007,1.51193723815426,-0.25845823029789,2.64477790811931,41.8785962689823,2.31124341155315,17.8893,1150780000,9.26278608406234,7.78209199050757,25.2468212566315,26.1320914258645,2.90997432764267,8.3321,891273202,1.05683143294308,-0.983573690265004,-0.544275674855546,29.3302260087564,3.22263389360805,16.2724,37718952,-1.01821987321358,-3.42839609042518
"12",24.8025018428359,0.0500334876739342,1.52152886115445,18.5964,154259382,-0.466913211737747,-2.15185587870434,3.71582066892722,44.5395544614716,2.44954206753443,18.976,1164970000,14.2245295931824,12.8332095807123,23.3995015061823,29.2124945523449,2.70483970561409,7.2229,909307018,5.48239602167047,3.39041819301815,12.0107473359689,33.3997077268962,2.81765061454765,16.2724,38672611,-2.13705688877369,-4.55033786596215
"13",21.5438109763177,1.01436931774854,1.92792281498297,21.6616,156849086,4.66516899045992,2.93706324430802,3.31845472955472,51.0468183922653,1.92806687404062,17.7668,1178440000,13.8837293021031,12.5819966439285,23.7108907126756,31.0607370914259,2.82354224568723,3.9702,927403866,4.75077621965234,2.70672729487779,14.6043829348985,36.6453070642527,2.49552369800039,16.2724,39633754,1.23351991332927,-1.22145543495738
"14",4.1390935119565,22.0715442934335,2.016007789121,21.043,159432717,5.33455170168176,3.62758955320651,2.73986401599766,63.4292398842776,1.69347959870483,17.367,1191835000,13.0368066319673,11.7663891456246,21.9700218778359,34.2438214116532,2.66467372708604,4.3555,945601828,6.65892406734025,4.60628944919065,16.044277587343,39.9208638031002,2.56196590060566,35.7113,40564061,3.20000104934246,0.833184685068417
"15",5.43026225383699,36.640315941141,1.86213698033379,19.4009,162019889,4.41673135543732,2.74938023353704,2.71715512315336,74.0797863737528,1.68623388691537,18.8695,1204855000,10.9539543428699,9.75495489020201,20.0603409824975,37.7452131691142,2.57848357246069,5.3822,963922586,7.57449184032379,5.52988134918675,15.6165428201536,43.3861649508934,2.11786404667743,38.1457,41435761,3.09999541832646,0.931041262853
"16",5.94510967604378,42.4139744020249,1.65484349950291,19.7595,164614682,2.20753552677458,0.596455673446997,3.03619245056889,80.2381577567065,1.65272667000964,19.6897,1217550000,9.92255675231162,8.77642981052642,20.8332570127979,41.1336584557082,2.4727682254674,7.1579,982365248,7.5495222488198,5.53041632957574,15.9162069362176,46.5768394272867,1.75587879819291,41.5815,42241007,4.2999989609346,2.31171404709964
"17",11.9381921682388,45.3518684755867,1.57768831551774,17.5138,167209046,3.39484598484418,1.79060343561859,2.02813660872039,82.4739659836287,1.63265067284541,21.417,1230075000,9.23677989162672,8.12449757701776,21.1581493195499,44.0805774514448,2.64773242601716,5.3647,1000900028,4.0498208490926,2.12301449028875,17.7441307776657,50.5814093006745,1.58213355671958,35.6728,42987456,2.60000211628014,0.81842032228667
"18",27.5891893076075,46.8008952735922,1.66229191975824,12.3474,169785253,0.338097902952427,-1.18436477043576,5.68653226617,81.8362888154734,1.65508069090551,12.0222,1241935000,7.84595178761953,6.8160645646963,21.4886129199876,49.9128076740881,2.72731141679376,4.4023,1019483586,6.18441582090618,4.2488434613293,17.6540993464258,54.0616897408591,1.38316672312245,43.9905,43682259,0.50000090515276,-1.09853597749569
"19",33.7864544523561,49.0746921995342,1.64547466656987,11.9251,172318674,0.467937567378257,-1.00913730182532,6.48899741159864,80.6893755831361,1.87146591412577,10.198,1252735000,7.66165150053656,6.73348565843446,22.1180201226421,52.2436461392705,2.95719564743412,3.9416,1038058154,8.84575556105509,6.89811623045533,15.8176382714408,56.862889598864,1.27205293062738,42.0492,44338551,2.39999624456443,0.884288202248442
"20",35.8750301266061,52.5315827425714,1.73072614713627,12.7718,174790339,4.38794944267383,2.91182643418635,5.85911631532186,80.9700222903012,1.8303437176953,8.9627,1262645000,8.49009340575191,7.63859767603294,22.762084018128,54.3383216485078,2.94892990622572,3.4232,1056575548,3.84099115681285,2.02108859495532,16.0825235331662,59.898771742989,1.38728913141799,35.8201,44967713,4.2000034755179,2.74209783138022
"21",39.324092634411,56.1249316036127,1.95188244532532,12.2948,177196051,1.38989640325893,0.0133708594922837,9.93647815191822,81.552298456301,1.97618599097992,30.5402,1271850000,8.3357334781433,7.55165483155264,24.3346176453819,56.3919261013738,2.9244355462896,2.7557,1075000094,4.82396626390641,3.02737666441584,30.3224311239065,63.3141427050053,1.48316101798605,32.5308,45571272,2.69999456713745,1.33980637618795
"22",41.9855614849436,60.8675805806435,1.89577119915617,10.0864,179537523,3.05346185795257,1.70947096729365,10.9531646989755,80.9553593614031,2.04968606201025,35.4075,1280400000,9.13363078993316,8.40487997514565,25.2193607992573,58.815172903837,2.82686683045838,3.8707,1093317187,3.8039753213758,2.06487609899125,34.6142289104582,69.3256348361141,1.52930955872386,22.9471,46150913,3.70038235175593,2.39793805717061
